测试,#genre#
CCTV05,http://www.terrykang.xyz:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://www.terrykang.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV06,http://www.terrykang.xyz:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV07,http://www.terrykang.xyz:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV08,http://www.terrykang.xyz:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV09,http://www.terrykang.xyz:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://www.terrykang.xyz:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://www.terrykang.xyz:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://www.terrykang.xyz:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://www.terrykang.xyz:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://www.terrykang.xyz:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://www.terrykang.xyz:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://www.terrykang.xyz:35455/itv/1000000005000265015.m3u8?cdn=ystenlive


CCTV01,http://27.106.110.67:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV02,http://27.106.110.67:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV03,http://27.106.110.67:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV04,http://27.106.110.67:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV05,http://27.106.110.67:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://27.106.110.67:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV06,http://27.106.110.67:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV07,http://27.106.110.67:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV08,http://27.106.110.67:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV09,http://27.106.110.67:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://27.106.110.67:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://27.106.110.67:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://27.106.110.67:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://27.106.110.67:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://27.106.110.67:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://27.106.110.67:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://27.106.110.67:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

CCTV01,http://47.238.77.20:35455/gaoma/cctv1.m3u8
CCTV02,http://47.238.77.20:35455/gaoma/cctv2.m3u8
CCTV03,http://47.238.77.20:35455/gaoma/cctv3.m3u8
CCTV04,http://47.238.77.20:35455/gaoma/cctv4.m3u8
CCTV05,http://47.238.77.20:35455/gaoma/cctv5.m3u8
CCTV5+,http://47.238.77.20:35455/gaoma/cctv5p.m3u8
CCTV06,http://47.238.77.20:35455/gaoma/cctv6.m3u8
CCTV07,http://47.238.77.20:35455/gaoma/cctv7.m3u8
CCTV08,http://47.238.77.20:35455/gaoma/cctv8.m3u8
CCTV09,http://47.238.77.20:35455/gaoma/cctv9.m3u8
CCTV10,http://47.238.77.20:35455/gaoma/cctv10.m3u8
CCTV11,http://47.238.77.20:35455/gaoma/cctv11.m3u8
CCTV12,http://47.238.77.20:35455/gaoma/cctv12.m3u8
CCTV13,http://47.238.77.20:35455/gaoma/cctv13.m3u8
CCTV14,http://47.238.77.20:35455/gaoma/cctv14.m3u8
CCTV15,http://47.238.77.20:35455/gaoma/cctv15.m3u8
CCTV16,http://47.238.77.20:35455/gaoma/cctv16.m3u8
CCTV17,http://47.238.77.20:35455/gaoma/cctv17.m3u8

CCTV01,http://47.238.77.20:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV02,http://47.238.77.20:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV03,http://47.238.77.20:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV04,http://47.238.77.20:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV05,http://47.238.77.20:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://47.238.77.20:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV06,http://47.238.77.20:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV07,http://47.238.77.20:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV08,http://47.238.77.20:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV09,http://47.238.77.20:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://47.238.77.20:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://47.238.77.20:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://47.238.77.20:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://47.238.77.20:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://47.238.77.20:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://47.238.77.20:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://47.238.77.20:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

CCTV01,http://szdjd.us.kg:35455/gaoma/cctv1.m3u8
CCTV02,http://szdjd.us.kg:35455/gaoma/cctv2.m3u8
CCTV03,http://szdjd.us.kg:35455/gaoma/cctv3.m3u8
CCTV04,http://szdjd.us.kg:35455/gaoma/cctv4.m3u8
CCTV05,http://szdjd.us.kg:35455/gaoma/cctv5.m3u8
CCTV5+,http://szdjd.us.kg:35455/gaoma/cctv5p.m3u8
CCTV06,http://szdjd.us.kg:35455/gaoma/cctv6.m3u8
CCTV07,http://szdjd.us.kg:35455/gaoma/cctv7.m3u8
CCTV08,http://szdjd.us.kg:35455/gaoma/cctv8.m3u8
CCTV09,http://szdjd.us.kg:35455/gaoma/cctv9.m3u8
CCTV10,http://szdjd.us.kg:35455/gaoma/cctv10.m3u8
CCTV11,http://szdjd.us.kg:35455/gaoma/cctv11.m3u8
CCTV12,http://szdjd.us.kg:35455/gaoma/cctv12.m3u8
CCTV13,http://szdjd.us.kg:35455/gaoma/cctv13.m3u8
CCTV14,http://szdjd.us.kg:35455/gaoma/cctv14.m3u8
CCTV15,http://szdjd.us.kg:35455/gaoma/cctv15.m3u8
CCTV16,http://szdjd.us.kg:35455/gaoma/cctv16.m3u8
CCTV17,http://szdjd.us.kg:35455/gaoma/cctv17.m3u8

CCTV01,http://szdjd.us.kg:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV02,http://szdjd.us.kg:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV03,http://szdjd.us.kg:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV04,http://szdjd.us.kg:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV05,http://szdjd.us.kg:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://szdjd.us.kg:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV06,http://szdjd.us.kg:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV07,http://szdjd.us.kg:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV08,http://szdjd.us.kg:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV09,http://szdjd.us.kg:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://szdjd.us.kg:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://szdjd.us.kg:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://szdjd.us.kg:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://szdjd.us.kg:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://szdjd.us.kg:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://szdjd.us.kg:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://szdjd.us.kg:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

卫视--iTV,#genre#
北京卫视,http://www.terrykang.xyz:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视,http://www.terrykang.xyz:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://www.terrykang.xyz:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://www.terrykang.xyz:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://www.terrykang.xyz:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://www.terrykang.xyz:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://www.terrykang.xyz:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://www.terrykang.xyz:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://www.terrykang.xyz:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://www.terrykang.xyz:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://www.terrykang.xyz:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://www.terrykang.xyz:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://www.terrykang.xyz:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://www.terrykang.xyz:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视,http://www.terrykang.xyz:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://www.terrykang.xyz:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江卫视,http://www.terrykang.xyz:35455/itv/1000000001000001925.m3u8?cdn=ystenlive

北京卫视,http://27.106.110.67:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
